Column1;Column2;Column3;Column4
笨拙;bèn zhuō;"глупый; неуклюжий, неловкий";6
崩溃;bēng kuì;"потерпеть крах; крах, крушение";6
甭;béng;не надо, не следует, незачем, ни к чему, не приходится, нечего;6
蹦;bèng;"прыгать, скакать; подпрыгивать";6
迸发;bèng fā;"вырваться наружу; разразиться, взметнуться, взлететь; брызнуть";6
逼迫;bī pò;"вынуждать, давить, теснить, заставлять; оказывать давление; давление";6
鼻涕;bí tì;сопли (также в знач.: слёзы);6
比方;bǐ fang;"сравнение, метафора; аллегория2) пример; например; к примеру";6
比喻;bǐ yù;"образное выражение, метафора, аллегория, иносказание; иллюстрация примером; говорить иносказательно";6
比重;bǐ zhòng;"удельный вес, значимость; процент";6
鄙视;bǐ shì;"презирать; относиться свысока; пренебрежительно смотреть; презрение";6
弊病;bì bìng;"недостаток; порок; злоупотребление";6
弊端;bì duān;"злоупотребление; недостаток, порок; порочная практика";6
臂;bì;"рука (от плеча до запястья); локоть";6
闭塞;bì sè;"заваливать, загораживать, забивать, замуровывать; блокировать; быть малодоступным (для подъезда); труднодостигаемый";6
编织;biān zhī;"плести; вязать; плетёный, переплетённый";6
边疆;biān jiāng;"граница, пограничная территория, пограничные районы; приграничные (сопредельные) земли";6
边界;biān jiè;"граница; пограничная линия; рубеж";6
边境;biān jìng;"граница; пограничная полоса, пограничная территория; окраина; пограничный; окраинный";6
边缘;biān yuán;"край; грань; граница";6
鞭策;biān cè;"подстёгивать, побуждать, понуждать, подгонять; стимулировать; импульс; хлыст";6
扁;biǎn;"плоский; сплющенный; приплюснутый";6
贬低;biǎn dī;"снижать; принижать, умалять";6
贬义;biǎn yì;отрицательный оттенок, негативный смысл, пейоративный;6
便利;biàn lì;"удобный, выгодный, удачный, благоприятный; удобство; благоприятствовать, способствовать";6
便条;biàn tiáo;краткое неофициальное письмо, записка;6
便于;biàn yú;"удобный; быть благоприятным (для), подстраиваться (под)";6
变故;biàn gù;беда, горе, несчастье, несчастный случай;6
变迁;biàn qiān;"процесс изменений; история образования (развития); сдвиг, изменение";6
变质;biàn zhì;"перерождаться; дегенерировать; деградировать, вырождаться; перерождение; дегенерация; порча; ухудшение; деградированный; метаморфизм";6
辨认;biàn rèn;"распознавать, узнавать (по внешним признакам) ; опознавать (напр. труп); опознание";6
辩护;biàn hù;"оправдывать; заступаться за (кого-л.); защищать (на суде)";6
辩解;biàn jiě;давать разъяснения, оправдываться;6
辩证;biàn zhèng;"доказывать в споре; диалектика; диалектический";6
辫子;biàn zi;коса (причёска) ;6
遍布;biàn bù;распространиться повсюду;6
标本;biāo běn;"образец (напр., минерала); чучело; препарат";6
标记;biāo jì;"отметка, знаки (навигационные); клеймо, марка; маркировать, метить";6
标题;biāo tí;"заголовок, заглавие; дать заглавие; предметная рубрика; тема; тематический";6
表决;biǎo jué;"голосовать; голосование";6
表态;biǎo tài;"выразить свою точку зрения; занять какую-либо позицию; точка зрения; позиция";6
表彰;biǎo zhāng;прославлять, отмечать, увековечивать, воспевать, хвалить;6
憋;biē;"удержаться; сдержаться; напрячь(ся); душно, воздуху не хватает";6
别墅;bié shù;"дача; вилла; загородный дом, коттедж";6
别致;bié zhì;своеобразный, оригинальный, необыкновенный;6
别扭;biè niu;неуютный, неудобный, неловкий, неприятный (о чувстве);6
濒临;bīn lín;"нависать (напр. об опасности); быть на грани (чего-л.)";6
冰雹;bīng báo;"град; градина";6
丙;bǐng;"третий циклический знак (из десяти); в перечислении третий";6
并非;bìng fēi;вовсе не..., отнюдь не..., совсем не...;6
并列;bìng liè;"поставить в один ряд; стоять в одном ряду";6
剥削;bō xuē;"эксплуатировать; эксплуатация; (уст.) присваивать чужую собственность";6
拨;bō;"передвигать, переставлять; поворачивать; повёртывать; выделять; ассигновать; (сч. сл. для групп людей)";6
播种;bō zhòng;"сеять (что-л.); посев; посевной";6
波浪;bō làng;волна;6
波涛;bō tāo;"высокая волна; (водяной) вал";6
伯母;bó mǔ;тётка (жена старшего брата отца);6
博大精深;bó dà jīng shēn;глубокий и многогранный (напр. о знаниях, языке, культуре и т.п.);6
博览会;bó lǎn huì;выставка;6
搏斗;bó dòu;"вступить в драку, схватиться в борьбе; схватка, борьба";6
薄弱;bó ruò;"слабый, немощный; хрупкий, тонкий";6
不顾;bú gù;"не обращать внимания; пренебрегать; невзирая на, несмотря на";6
不愧;bú kuì;"не посрамить; заслуженно, достойно; недаром, с полным основанием";6
不料;bú liào;неожиданно, вопреки ожиданиям, непредвиденно;6
不像话;bú xiàng huà;"ни на что не похожий; чепуха, вздор, чушь, околесица";6
不屑一顾;bú xiè yī gù;не удостоить и взгляда, не стоит и взгляда;6
哺乳;bǔ rǔ;"кормить грудью; выкармливать молоком; грудное вскармливание";6
捕捉;bǔ zhuō;"ловить, хватать; ухватывать, схватывать, выхватывать";6
补偿;bǔ cháng;"возмещать; компенсировать; компенсация";6
补救;bǔ jiù;спасать положение, исправлять, возместить ущерб;6
补贴;bǔ tiē;"материальная помощь; пособие; субсидировать; субсидия";6
不得已;bù dé yǐ;"поневоле; только и остаётся, что; вынужденный";6
不妨;bù fáng;следовало бы, вполне (воз)можно, ничто не мешает, не мешало бы, не лишне (было бы);6
不敢当;bù gǎn dāng;(лит.) Что Вы, помилуйте!, не смею согласиться!, не заслужил такой чести!, не достоин! (ответ на комплимент);6
不禁;bù jīn;"невольно; не удержаться от чего-либо";6
不堪;bù kān;"невозможно; не быть в состоянии; крайне; невыносимо";6
不可思议;bù kě sī yì;"невозможно вообразить (представить себе); невообразимый, немыслимый; непостижимый";6
不免;bù miǎn;"не избежать; неизбежно; волей-неволей приходится";6
不时;bù shí;"время от времени; временами; иногда / непредвиденный";6
不惜;bù xī;"не пожалеть; не скупиться; не останавливаться перед; не брезговать; несмотря на...; вопреки";6
不相上下;bù xiāng shàng xià;одинаковый, равноценный, одного уровня;6
不言而喻;bù yán ér yù;"понятно и без слов; само собой разумеется (очевидно)";6
不由得;bù yóu de;"невольно; поневоле";6
不择手段;bù zé shǒu duàn;быть неразборчивым в средствах, не останавливаться ни перед чем, не брезговать никакими приёмами;6
不止;bù zhǐ;"безостановочно; беспрестанно; не менее, не меньше";6
布告;bù gào;"объявлять, декларировать; объявление, уведомление, воззвание, обращение";6
布局;bù jú;"размещение, расстановка, конфигурация; (лит.) структура (композиция) произведения; концепция";6
布置;bù zhì;"расставлять, располагать; оформлять (напр., витрину); распределить; спланировать";6
步伐;bù fá;"шаги; поступь, марш";6
部署;bù shǔ;"план, замысел, расчёт, приготовления; располагать, размещать, дислоцировать, расположение";6
部位;bù wèi;"расположение; место";6
才干;cái gàn;способности, таланты, одарённость;6
裁缝;cái feng;"портной, закройщик; кроить и шить; кройка и шитьё";6
裁判;cái pàn;"право судить; юрисдикция; выносить судебное решение; судебный приговор; спорт судить спортивное соревнование; арбитр, рефери";6
裁员;cái yuán;сокращение служащих, сокращение штата;6
财富;cái fù;богатство, состояние, блага, ценности;6
财务;cái wù;"финансовое дело; финансы; финансировать, финансовый";6
财政;cái zhèng;"финансы; финансовый";6
彩票;cǎi piào;лотерейный билет;6
采购;cǎi gòu;"производить закупки, закупать; закупки, заготовки; заготовительный, закупочный";6
采集;cǎi jí;"собирать; коллекционировать";6
采纳;cǎi nà;"принимать (предложение, условие, закон, резолюцию); одобрять; признавать; соглашаться";6
参谋;cān móu;"давать советы; советовать; советчик; офицер штаба";6
参照;cān zhào;"следовать (чему-либо); придерживаться (чего-либо), ориентир";6
残疾;cán jí;"увечье, инвалидность; инвалид; физический недостаток";6
残酷;cán kù;"жестокий, свирепый; беспощадный; жестокость";6
残留;cán liú;"остаточный, реликтовый; остатки; уцелеть; продолжать существовать";6
残忍;cán rěn;"безжалостный, жестокий, лютый; жестокость, бесчеловечность";6
灿烂;càn làn;блестящий, сверкающий;6
仓促;cāng cù;"поспешный; в спешке, торопливо, наспех; поспешность, спешка";6
仓库;cāng kù;склад, амбар;6
舱;cāng;отсек, трюм, каюта, пассажирское (грузовое) помещение (в самолёте, на пароходе);6
苍白;cāng bái;"бледный; серый; безжизненный";6
操劳;cāo láo;"трудиться, работать; хлопотать";6
操练;cāo liàn;"тренироваться; упражняться; тренировка; упражнения; строевая подготовка";6
操纵;cāo zòng;"управлять; управление; заправлять, держать в руках, контролировать";6
操作;cāo zuò;"трудиться; процесс работы; труд; работа; операция";6
嘈杂;cáo zá;"шум, галдёж; разноголосый; шумный";6
草案;cǎo àn;"проект (документа); чертёж; эскиз";6
草率;cǎo shuài;"небрежный, аляповатый; поспешный; наспех";6
侧面;cè miàn;"бок; (боковая) сторона; боковой; профиль; побочный";6
测量;cè liáng;"измерять; измерительный";6
策划;cè huà;"намечать, планировать; предначертание, проект";6
策略;cè lüè;"стратегия, планы; тактика; комбинация; маневр; тактический";6
层出不穷;céng chū bù qióng;"появляться непрерывно; возникать одно за другим";6
层次;céng cì;"последовательность; порядок; уровень; (административная) инстанция";6
差别;chā bié;"разница; отличие; дифференциальный";6
插座;chā zuò;"(электрическая) розетка; гнездо";6
查获;chá huò;"обнаруживать; разыскивать; ловить; изымать";6
刹那;chà nà;миг, мгновение;6
岔;chà;"разветвление, ответвление; развилка; порок, дефект; разветвляться; ответвляться";6
诧异;chà yì;"удивляться, изумляться; изумление";6
柴油;chái yóu;дизельное топливо;6
搀;chān;"поддержать (рукой); добавлять, подмешивать; разбавлять";6
缠绕;chán rào;"обматывать, обёртывать; приставать к кому-либо; надоедать; беспокоить";6
馋;chán;"жадный, прожорливый, ненасытный; жадничать, обжираться";6
产业;chǎn yè;"промышленный; производственный; производство; имущество";6
阐述;chǎn shù;"разъяснять, излагать; описывать, обрисовывать";6
颤抖;chàn dǒu;дрожать, трястись, трепетать;6
昌盛;chāng shèng;"процветающий; расцвет; процветать";6
偿还;cháng huán;выплачивать, погашать;6
尝试;cháng shì;"пробовать, пытаться; попытка, опыт";6
场合;chǎng hé;случай, обстоятельства, положение, обстановка, условия;6
场面;chǎng miàn;"ситуация; сцена; картина";6
场所;chǎng suǒ;"место, пункт; арена";6
敞开;chǎng kāi;"широко распахнуть; открытый; нараспашку";6
倡导;chàng dǎo;"выступить с инициативой; быть инициатором; инициатива";6
倡议;chàng yì;"проявлять инициативу, ставить в повестку дня; предлагать; предложение; инциатива";6
畅通;chàng tōng;"свободно (беспрепятственно, безотказно) идти (ходить, действовать); (регулярно) действовать";6
畅销;chàng xiāo;"хорошо продаваться, пользоваться большим спросом; ходкий";6
超越;chāo yuè;"превосходить, превышать; переходить; выходить за (напр., рамки чего-либо)";6
钞票;chāo piào;"бумажные деньги, банкноты; ассигнации, кредитные билеты";6
嘲笑;cháo xiào;высмеивать, насмехаться, издеваться, насмешки, глумления;6
巢穴;cháo xué;"гнездо; логово; притон";6
朝代;cháo dài;династия;6
潮流;cháo liú;"прилив (течение); (перен.) веяние; течение";6
撤退;chè tuì;отступать, отходить;6
撤销;chè xiāo;"отменять, аннулировать, упразднять; расформировать; распустить";6
沉淀;chén diàn;"осаждаться; осадочный; осадок; осаждение";6
沉闷;chén mèn;"тосковать, скучать; душный, затхлый, тяжёлый, душный (напр., об атмосфере); хмурый";6
沉思;chén sī;"глубокое раздумье, глубокие мысли, размышление; задумчивость";6
沉重;chén zhòng;"серьёзный; тяжёлый; сумрачный, гнетущий";6
沉着;chén zhuó;"хладнокровный, спокойный, сдержанный; невозмутимость";6
陈旧;chén jiù;"устаревший; устареть; старый, ветхий";6
陈列;chén liè;"расставлять, выставлять, экспонировать; экспозиция, выкладка";6
陈述;chén shù;"излагать; высказывать";6
称心如意;chèn xīn rú yì;быть вполне довольным (удовлетворённым), полностью удовлетворить свои желания;6
衬托;chèn tuō;"оттенять; подчёркивать; выделать ч-л на фоне ч-л";6
称号;chēng hào;"наименование, название; звание, титул";6
乘;chéng;"ехать на чём-либо; воспользоваться; (мат.) умножать; умножение";6
呈现;chéng xiàn;"являть, выявлять, обнаруживать, проявлять, являть взору; появляться; иметь (принимать) вид... (какой-л., чего-л.), казаться (каким-л., чем-л.)";6
城堡;chéng bǎo;замок, цитадель;6
惩罚;chéng fá;"наказывать, штрафовать; налагать взыскание (штраф)";6
成本;chéng běn;себестоимость, расходы, затраты, издержки;6
成交;chéng jiāo;"совершить торговую сделку; произвести обмен (куплю-продажу)";6
成天;chéng tiān;целый день, целыми днями;6
成效;chéng xiào;результат, эффект, успех;6
成心;chéng xīn;намеренно, сознательно, умышленно, нарочно;6
成员;chéng yuán;член (напр. семьи, организации);6
承办;chéng bàn;"предпринимать; брать подряд (подряжаться) на (работу); подряд";6
承包;chéng bāo;"взять подряд (подрядиться) на (работу); подряд; подрядный";6
承诺;chéng nuò;"(дать) обещание, (брать на себя) обязательство; обещать, обязываться";6
橙;chéng;"апельсин (дерево или плод); оранжевый";6
澄清;chéng qīng;"чистый; прозрачный; прояснить; внести ясность; очистить (от чего-либо)";6
盛;chéng;"накладывать (напр., пищу); вмещать (в себя), наполнять";6
诚挚;chéng zhì;"сердечный, искренний; сердечность, искренность";6
秤;chèng;"весы; отвешивать; взвешивать";6
吃苦;chī kǔ;"хлебнуть горя, страдать, мучиться; тяжело трудиться, переносить трудности";6
吃力;chī lì;"напрягать силы; трудоёмкий; затруднительный; затруднённый; с трудом, через силу";6
持久;chí jiǔ;"выдерживать; длительный; затяжной; долговечный";6
迟钝;chí dùn;"несообразительный, неспособный; медлительный, неповоротливый";6
迟缓;chí huǎn;"медленный; медлить; промедление, замедление";6
迟疑;chí yí;"быть в нерешительности, колебаться; нерешительный, неуверенный";6
赤道;chì dào;"экватор; экваториальный";6
赤字;chì zì;(фин.) дефицит;6
充当;chōng dāng;"служить кем-либо/чем-либо; работать кем-либо; выступать в роли кого-либо/чего-либо";6
充沛;chōng pèi;"быть преисполненным; преисполненный; полный; обильный; мощный";6
充实;chōng shí;"насыщенный; богатый; пополнить, дополнить";6
充足;chōng zú;"достаточный; полный; зажиточный; быть в избытке";6
冲动;chōng dòng;"импульс; порыв; поддаваться (первому) порыву";6
冲击;chōng jī;"удар; ударный; толчок, импульс; импульсный; штурм; штурмовой; ударять";6
冲突;chōng tū;"столкновение; конфликт, столкнуться";6
崇拜;chóng bài;"почитать, преклоняться, боготворить; культ, поклонение";6
崇高;chóng gāo;"высокий; возвышенный; благородный";6
崇敬;chóng jìng;"почитать; уважать; уважение; почитание";6
重叠;chóng dié;"нагромождать одно на другое; многократно повторяться; дублировать друг друга; дублирование; параллелизм";6
稠密;chóu mì;густой, плотный;6
筹备;chóu bèi;"подготавливать; готовить; подготовительный";6
丑恶;chǒu è;отвратительный, безобразный, уродливый;6
出路;chū lù;выход (из какого-либо положения);6
出卖;chū mài;"продать; сбыть; предать; предательство";6
出身;chū shēn;"происходить; быть выходцем из; (социальное) происхождение";6
出神;chū shén;"забыться, глубоко задуматься; отсутствующий, рассеянный";6
出息;chū xi;"толк; будущность; перспективный";6
初步;chū bù;"первый шаг; начальный; предварительный; элементарный";6
除;chú;"искоренять; удалять; уничтожать; исключать (напр., из списков); исключая; за исключением (кого-либо/чего-либо); кроме... ; (мат.) делить; деление";6
储备;chǔ bèi;"запас, резерв; фонд; запасать, заготавливать; резервировать; резервный";6
储存;chǔ cún;"запасать, копить про запас, накапливать; запасы; сохранять";6
储蓄;chǔ xù;сбережения, сберегать, откладывать, сберегательный;6
处分;chǔ fèn;"определить меру наказания; наказать; наказание, взыскание";6
处境;chǔ jìng;положение, обстановка, ситуация;6
处置;chǔ zhì;"наказывать; карать; налагать взыскание; распоряжаться (об имуществе)";6
触犯;chù fàn;"задеть; затронуть; нарушить; преступить";6
川流不息;chuān liú bù xī;безостановочно, непрерывным потоком, беспрерывно;6
穿越;chuān yuè;"пройти; пересечь; перейти; (техн.) переход, пересечение";6
传达;chuán dá;"передавать (напр., приказ); доложить (о ком-либо)";6
传单;chuán dān;рекламная листовка, буклет;6
传授;chuán shòu;преподавать, передавать, распространять (знания);6
船舶;chuán bó;корабль, судно, флот;6
喘气;chuǎn qì;"переводить дух; с трудом дышать; делать передышку";6
串;chuàn;"сч. сл. связка; гроздь; связаться с кем-либо; войти в сговор; ходить (из дома в дом); таскаться";6
床单;chuáng dān;простыня;6
创立;chuàng lì;"создавать, учреждать; учредительный";6
创新;chuàng xīn;"выступать с новыми идеями; прокладывать новые пути; новаторство; инновации";6
创业;chuàng yè;"основать предприятие, создать бизнес, положить начало делу, стартап; венчурный";6
创作;chuàng zuò;"творить, созидать; творчество; произведение; творение";6
吹牛;chuī niú;"бахвалиться, хвастаться; похвальба (букв. ""надувать корову"")";6
吹捧;chuī pěng;"восхвалять; превозносить";6
踌躇;chóuchú;"колебаться, быть в нерешительности; мяться";6
垂直;chuí zhí;"отвесный; вертикальный; перпендикулярный";6
锤;chuí;"молот; молоток; колотить; бить (молотком и т.п.)";6
纯粹;chún cuì;"чистый; без примеси; исключительно";6
纯洁;chún jié;"чистый; белоснежный; целомудренный; беспорочность; бескорыстный, чистота";6
慈善;cí shàn;"благотворительный; благотворительность, добросердечие";6
慈祥;cí xiáng;"добросердечный, отзывчивый, милостивый; ласковый, добрый";6
磁带;cí dài;"магнитная лента, магнитофонная плёнка; (магнитофонная) кассета";6
雌雄;cí xióng;"самка и самец; курица и петух (обр. в знач.: слабый и сильный)";6
伺候;cì hòu;ухаживать, заботиться, помогать, ждать;6
刺;cì;"колоть; втыкать; пронзать; колючка; шип; покушаться на убийство";6
次品;cì pǐn;второсортный товар, некачественная вещь, изделие низкого качества;6
次序;cì xù;порядок, последовательность;6
丛;cóng;"скопление; сборище; сборник; заросли; кусты";6
从容;cóng róng;"спокойно; непринуждённо; не спеша; иметься в достатке; достаточно";6
凑合;còu he;"собирать(ся); обойтись; приноровиться; кое-как; с грехом пополам";6
粗鲁;cū lǔ;"грубый, дерзкий; невоспитанный; неотёсанный";6
窜;cuàn;"сбежать; удрать; броситься (со всех ног); изменять; исправлять (напр., текст)";6
摧残;cuī cán;"громить, уничтожать; разорять; расправляться с...; унижать, позорить";6
脆弱;cuì ruò;"хрупкий; хрупкость, ломкость";6
搓;cuō;"вить, крутить; тереть; потирать; растирать";6
磋商;cuō shāng;"консультация, совещание; согласовывать (вопрос); консультироваться, совещаться, договариваться";6
挫折;cuò zhé;"неудача, неуспех; ломать; терпеть неудачу (поражение), не иметь успеха";6
搭;dā;"построить; соорудить; повесить (напр., бельё); накинуть (на плечи); соединить(ся); присоединить(ся); поднимать (тяжёлые вещи); ехать; садиться (на какой-либо вид транспорта); добавить; прибавить";6
搭档;dā dàng;"партнёр; компаньон; сотрудничать; действовать сообща";6
搭配;dā pèi;"соединять в одно целое; смешивать; комбинировать; сочетать; сочетание";6
答辩;dá biàn;"защищать (напр. диссертацию); возражать (на обвинение); диспут; возражение; ответ (на вопрос, иск)";6
答复;dá fù;"ответить;  ответ";6
达成;dá chéng;добиться, достигнуть, дойти до..., выполнить;6
打包;dǎ bāo;упаковывать, пакетировать;6
打官司;dǎ guān si;судиться, сутяжничать, вести судебное дело, затеять тяжбу;6
打击;dǎ jī;"бить; ударять; бить (врага); нападать; нападки";6
打架;dǎ jià;"драться; драка";6
打量;dǎ liang;"смерить взглядом; оглядеть; считать, полагать";6
打猎;dǎ liè;"охотиться; охота";6
打仗;dǎ zhàng;"воевать; вести войну; сражаться";6
大不了;dà bù liǎo;"всего лишь; разве что, только и всего, и все дела; особенный, страшный (обычно с отрицанием); на худой конец, в крайнем случае";6
大臣;dà chén;министр (в монархическом государстве);6
大伙儿;dà huǒ r;"(все) присутствующие; вся компания; всей компанией, сообща";6
大肆;dà sì;"безудержно, необузданно, широко; громогласно, крикливо";6
大体;dà tǐ;"всё тело; общее, целое; главное, основное; в основном, в общем";6
大意;dà yì;"суть; общий смысл, основное значение";6
大致;dà zhì;"в общем и целом; примерно; приблизительно";6
歹徒;dǎi tú;разбойник, злодей, негодяй;6
代价;dài jià;"цена, ценою (чего-л.); компенсация; эквивалент";6
代理;dài lǐ;"замещать; исполнять обязанности; агент; доверенное лицо; представлять интересы";6
带领;dài lǐng;вести, возглавлять, руководить, предводительствовать;6
怠慢;dài màn;"лениться; ленивый; небрежный, пренебречь; невнимательный";6
逮捕;dài bǔ;"арест; арестовать";6
担保;dān bǎo;"ручаться, гарантировать; поручительство, гарантия, обеспечение; гарантийный";6
胆怯;dǎn qiè;"трусливый; малодушный; трусить; трусость; малодушие";6
淡季;dàn jì;период упадка, мёртвый сезон, период затишья;6
淡水;dàn shuǐ;"пресная вода; пресноводный";6
蛋白质;dàn bái zhì;белки, протеины;6
诞辰;dàn chén;день рождения (обычно: уважаемого лица);6
诞生;dàn shēng;рождаться (о человеке или событии), появляться, зарождение, начало;6
当场;dāng chǎng;"тут же, немедленно, сразу же; на месте, на сцене действия";6
当初;dāng chū;"вначале, сперва, первоначально, изначально; раньше";6
当代;dāng dài;"это время; современный, настоящий";6
当面;dāng miàn;"в лицо, с глазу на глаз; лично; в присутствии";6
当前;dāng qián;"перед кем-либо/чем-либо; ныне; текущий; настоящий";6
当事人;dāng shì rén;"сторона (в деле); участник; заинтересованное лицо";6
当务之急;dāng wù zhī jí;актуальная задача, дело первостепенной важности, первоочередное дело;6
当选;dāng xuǎn;"быть избранным; избраться";6
党;dǎng;"партия; партийный; группировка; клан";6
档案;dàng àn;"архив, досье; архивные дела (документы); архивный";6
档次;dàng cì;уровень, класс, сорт;6
倒闭;dǎo bì;"обанкротиться; банкротство; крах";6
导弹;dǎo dàn;управляемый снаряд, ракета;6
导航;dǎo háng;навигация;6
导向;dǎo xiàng;"направлять; ориентировать(ся); направляющий";6
捣乱;dǎo luàn;"устраивать беспорядок; скандалить; вызывать волнения; беспокоить";6
盗窃;dào qiè;"присваивать, похищать, красть; воровство, хищение, кража";6
稻谷;dào gǔ;рис (неочищенный);6
得不偿失;dé bù cháng shī;"полученное не компенсирует потерянного (обр. в знач.: больше ущерба, чем пользы; ср. овчинка выделки не стоит; игра не стоит свеч)";6
得力;dé lì;"способный; деятельный; действенный, эффективный";6
得天独厚;dé tiān dú hòu;"огатый природными ресурсами; располагать богатыми природными ресурсами; (о человеке) хорошие природные данные";6
得罪;dé zuì;"обидеть, оскорбить; (вежл.) виноват, извините";6
灯笼;dēng lóng;фонарь (праздничный);6
登录;dēng lù;"регистрация; регистрировать(ся); залогиниться";6
登陆;dēng lù;выходить (высаживаться) на берег;6
蹬;dēng;наступать на.., давить (ногой);6
等候;děng hòu;ожидание, ожидать;6
等级;děng jí;"степень, уровень; разряд, категория; класс, ранг, чин";6
瞪;dèng;"пристально смотреть, уставиться; таращить (глаза)";6
堤坝;dī bà;запруда, плотина, дамба;6
敌视;dí shì;"смотреть как на врага; враждебно относиться (к кому-л.); враждебный (кому-л.); враждебность";6
抵达;dǐ dá;прибыть, дойти, достичь;6
抵抗;dǐ kàng;"сопротивляться; давать отпор; сопротивление";6
抵制;dǐ zhì;"противодействовать; препятствовать; отвергать, бойкотировать; бойкот";6
地步;dì bù;"положение, состояние; степень; точка опоры";6
地势;dì shì;"рельеф (характер) местности; положение";6
地质;dì zhì;"геология; геологический, почва";6
递增;dì zēng;"пропорционально (постоянно) увеличивающийся; возрастающий";6
颠簸;diān bǒ;"тряска, трястись (напр. в самолете), качать, качаться (на волнах); турбулентность";6
颠倒;diān dǎo;"перевёртываться, опрокидываться; перевернуть с ног на голову, извратить";6
典礼;diǎn lǐ;"торжественная церемония; торжество";6
典型;diǎn xíng;типичный, классический, образцовый, показательный, образец, тип, пример;6
点缀;diǎn zhuì;"украшать; приукрашивать; сделать что-либо для вида; скрасить";6
垫;diàn;"подкладывать; подстилать; подкладка; подстилка; подушка";6
奠定;diàn dìng;"закладывать (основу); учреждать, устанавливать";6
惦记;diàn jì;"заботиться (беспокоиться) о...; держать в памяти; помнить; думать о...";6
电源;diàn yuán;источник тока, источник питания, источник энергии;6
叼;diāo;держать (нести) в зубах;6
雕刻;diāo kè;"резать, гравировать; гравюра, скульптура";6
雕塑;diāo sù;"скульптура; ваяние, пластика";6
吊;diào;"висеть; вешать(ся); спускать (поднимать) на верёвке";6
调动;diào dòng;"перемещать; переводить; перебрасывать (напр., войска), мобилизовать";6
跌;diē;"падать (о человеке); снижаться; падать; опускаться";6
丁;dīng;"четвёртый циклический знак (из десяти); в перечислении четвёртый; взрослый мужчина; едок; человек";6
叮嘱;dīng zhǔ;"настойчиво просить; велеть, давать наказ; наставлять";6
盯;dīng;"уставиться, пристально смотреть на кого-либо/что-либо; пристально следить, не спускать глаз";6
定期;dìng qī;"назначить срок (дату); периодический; регулярный";6
定义;dìng yì;определение, формулировка, объяснение, дефиниция, определять;6
丢人;diū rén;потерять лицо, осрамиться, опозориться;6
丢三落四;diū sān là sì;"рассеянный; забывчивый";6
东道主;dōng dào zhǔ;"хозяин; угощающий; принимающая сторона";6
东张西望;dōng zhāng xī wàng;глядеть по сторонам, глазеть во все стороны, оглядываться вокруг, бегать глазами;6
董事长;dǒng shì zhǎng;председатель правления, президент совета директоров;6
冻结;dòng jié;замёрзнуть (напр., о реке), (перен.) заморозить;6
动荡;dòng dàng;"качаться, раскачиваться; колебаться; волноваться (о море и т.п.); беспокойный; тревожный";6
动机;dòng jī;мотив, импульс, побуждение;6
动静;dòng jìng;"движения; звуки; действия; проявления; признаки";6
动力;dòng lì;"тяга, мощность (мотора); движущая сила, толчок";6
动脉;dòng mài;артерия;6
动身;dòng shēn;"отправляться в путь; трогаться (с места); выезжать";6
动手;dòng shǒu;"приступить, взяться, приняться (за работу); трогать (руками)";6
动态;dòng tài;"обстановка, ситуация; тенденции, развитие, события, движение, динамика";6
动员;dòng yuán;"обилизовывать; приводить в боевую готовность; мобилизация";6
栋;dòng;счётное слово для зданий, строений;6
兜;dōu;"карман; мешочек; нести (в платке, подоле и т.п.)3) кружить; делать круги; взять на себя (напр., ответственность); зазывать";6
陡峭;dǒu qiào;обрывистый, крутой, отвесный;6
斗争;dòu zhēng;"борьба; бороться";6
督促;dū cù;"подгонять, подстёгивать; торопить, стимулировать";6
毒品;dú pǐn;наркотик;6
独裁;dú cái;"деспотия; диктатура; автократия; железная рука";6
堵塞;dǔ sè;"заложить; завалить; заделать (напр., пробоину); загородить (напр., дорогу); пробка; затор";6
赌博;dǔ bó;"играть (в азартные игры); азартные игры";6
杜绝;dù jué;"в корне пресечь; ликвидировать";6
端;duān;"конец (предмета); начало; причина; правильный; корректный; нести; подавать (на стол); высказать; выложить";6
端午节;duān wǔ jié;"Праздник начала лета, праздник ""двойной пятерки"", праздник драконьих лодок (5-го числа 5-го месяца по лунному календарю, обычно приходится на июнь)";6
端正;duān zhèng;"правильный; ровный, прямой; корректный; пристойный";6
短促;duǎn cù;"короткий, краткий; быстрый";6
断定;duàn dìng;"заключить; прийти к выводу; установить; решить";6
断绝;duàn jué;"прервать; разорвать; прекратить";6
堆积;duī jī;"нагромождать, складывать в кучу (в штабель); накапливать; нагромождение, куча";6
兑现;duì xiàn;"обменять (напр., чек) на наличные деньги, обналичить; погасить (задолженность); сдержать слово; выполнить обещание";6
对策;duì cè;контрмеры, корректирующие меры, ответные меры, альтернатива;6
对称;duì chèn;"симметрия; симметричный, симметрический";6
对付;duì fu;"справиться с чем-либо, осилить что-либо; реагировать на; принимать меры (против чего-либо); противостоять чему-либо";6
对抗;duì kàng;"противостоять; сопротивляться; давать отпор; антагонизм; противопоставление";6
对立;duì lì;"противостояние; противоположный, противополагать, противопоставлять";6
